sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3 param4 val4 param5 val5
121 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 32 fire_size_x 2121.32 fire_size_y 3535.534
122 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 33 fire_size_x 2121.32 fire_size_y 3535.534
123 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 34 fire_size_x 2121.32 fire_size_y 3535.534
124 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 35 fire_size_x 2121.32 fire_size_y 3535.534
125 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 5 fire_size_x 2651.65 fire_size_y 4419.418
126 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 6 fire_size_x 2651.65 fire_size_y 4419.418
127 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 7 fire_size_x 2651.65 fire_size_y 4419.418
128 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 8 fire_size_x 2651.65 fire_size_y 4419.418
129 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 9 fire_size_x 2651.65 fire_size_y 4419.418
130 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 10 fire_size_x 2651.65 fire_size_y 4419.418
131 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 11 fire_size_x 2651.65 fire_size_y 4419.418
132 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 12 fire_size_x 2651.65 fire_size_y 4419.418
133 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 13 fire_size_x 2651.65 fire_size_y 4419.418
134 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 14 fire_size_x 2651.65 fire_size_y 4419.418
135 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 15 fire_size_x 2651.65 fire_size_y 4419.418
136 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 16 fire_size_x 2651.65 fire_size_y 4419.418
137 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 17 fire_size_x 2651.65 fire_size_y 4419.418
138 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 18 fire_size_x 2651.65 fire_size_y 4419.418
139 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 19 fire_size_x 2651.65 fire_size_y 4419.418
140 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 20 fire_size_x 2651.65 fire_size_y 4419.418
141 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 21 fire_size_x 2651.65 fire_size_y 4419.418
142 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 22 fire_size_x 2651.65 fire_size_y 4419.418
143 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 23 fire_size_x 2651.65 fire_size_y 4419.418
